SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,894 Sea Gull Dr #894,Mt Pleasant,SC,29464,180000,2,1.5,,998,,1985,,180,,,http://www.redfin.com/SC/Mt-Pleasant/894-Sea-Gull-Dr-29464/unit-894/home/68657781,,,32.802642,-79.85519
PAST SALE,May-1-2020,Condo/Co-op,1152 Village Creek Ln #1,Mount Pleasant,SC,29464,250000,2,2,Village Creek,1060,,1982,156,236,310,Sold,http://www.redfin.com/SC/Mt-Pleasant/1152-Village-Creek-Ln-29464/unit-1/home/108186146,Charleston Trident MLS,20008649,32.807345,-79.860859
PAST SALE,,Condo/Co-op,1185 Village Creek Ln #1,Mt Pleasant,SC,29464,219000,2,2,,1060,,1982,,207,,,http://www.redfin.com/SC/Mt-Pleasant/1185-Village-Creek-Ln-29464/unit-1/home/108047856,,,32.8084058,-79.8610852
PAST SALE,June-21-2019,Condo/Co-op,896 Sea Gull Dr,Mount Pleasant,SC,29464,190000,2,1.5,Seagull Villas,1030,,1985,471,184,200,Sold,http://www.redfin.com/SC/Mt-Pleasant/896-Sea-Gull-Dr-29464/unit-896/home/68679432,Charleston Trident MLS,19012906,32.8024804,-79.8553538
PAST SALE,March-11-2020,Condo/Co-op,859 Sandlake Dr Unit E,Mount Pleasant,SC,29464,219000,2,2,Waterford,1052,,1985,207,208,247,Sold,http://www.redfin.com/SC/Mt-Pleasant/859-Sandlake-Dr-29464/unit-E/home/68684131,Charleston Trident MLS,19030362,32.812956,-79.869747
PAST SALE,,Condo/Co-op,1160 Village Creek Ln #1,Mt Pleasant,SC,29464,197500,2,2,,1060,,1982,,186,,,http://www.redfin.com/SC/Mt-Pleasant/1160-Village-Creek-Ln-29464/unit-1/home/68663880,,,32.807553,-79.8606881
PAST SALE,January-3-2020,Condo/Co-op,1180 Village Creek Ln #2,Mount Pleasant,SC,29464,245000,2,2,Village Creek,1060,,1982,275,231,245,Sold,http://www.redfin.com/SC/Mt-Pleasant/1180-Village-Creek-Ln-29464/unit-2/home/87088784,Charleston Trident MLS,19033005,32.808635,-79.860369
PAST SALE,June-3-2019,Condo/Co-op,1165 Village Creek Ln #1,Mount Pleasant,SC,29464,212000,2,2,Village Creek,1060,,1981,489,200,250,Sold,http://www.redfin.com/SC/Mt-Pleasant/1165-Village-Creek-Ln-29464/unit-1/home/68688582,Charleston Trident MLS,19004270,32.8084058,-79.8610852
PAST SALE,September-13-2019,Condo/Co-op,1185 Village Creek Ln #1302,Mount Pleasant,SC,29464,219000,2,2,Village Creek,1060,,1982,387,207,250,Sold,http://www.redfin.com/SC/Mt-Pleasant/1185-Village-Creek-Ln-29464/unit-1302/home/164366853,Charleston Trident MLS,19012318,32.808658,-79.861029
PAST SALE,August-26-2019,Condo/Co-op,1721 Basildon Rd,Mount Pleasant,SC,29466,227500,2,2,Park West,1063,,2006,405,214,278,Sold,http://www.redfin.com/SC/Mount-Pleasant/1721-Basildon-RD-29464/home/171635562,Charleston Trident MLS,19020460,32.8234848,-79.8520818
PAST SALE,August-26-2019,Condo/Co-op,2116 Chatelain Way #2116,Mount Pleasant,SC,29464,217500,2,2,Southampton Pointe,1038,,1999,405,210,324,Sold,http://www.redfin.com/SC/Mt-Pleasant/2116-Chatelain-Way-29464/unit-2116/home/68907797,Charleston Trident MLS,19012339,32.8229679,-79.8461745
PAST SALE,April-25-2019,Condo/Co-op,1752 Parc Vue,Mount Pleasant,SC,29464,240000,2,2.5,Montclair,1206,,1985,528,199,380,Sold,http://www.redfin.com/SC/Mt-Pleasant/1752-Parc-Vue-29464/home/68596790,Charleston Trident MLS,19001424,32.83163,-79.833903
PAST SALE,November-30-2018,Condo/Co-op,2013 Chatelain Way,Mount Pleasant,SC,29464,255000,2,2,Southampton Pointe,1057,,1999,674,241,355,Sold,http://www.redfin.com/SC/Mt-Pleasant/2013-Chatelain-Way-29464/unit-2013/home/68596914,Charleston Trident MLS,18026470,32.8237785,-79.8449916
PAST SALE,March-16-2020,Condo/Co-op,1417 Basildon Rd,Mount Pleasant,SC,29466,226000,2,2,Park West,1107,,2006,202,204,288,Sold,http://www.redfin.com/SC/Mount-Pleasant/1417-Basildon-RD-29464/home/171617145,Charleston Trident MLS,20002995,32.8234848,-79.8520818
PAST SALE,January-8-2019,Condo/Co-op,1807 Basildon Rd,Mount Pleasant,SC,29466,210000,2,2,Park West,1107,,2006,635,190,270,Sold,http://www.redfin.com/SC/Mount-Pleasant/1807-Basildon-RD-29464/home/171639403,Charleston Trident MLS,18028811,32.8234848,-79.8520818
PAST SALE,April-24-2019,Condo/Co-op,1515 Rosewood Ln,Mount Pleasant,SC,29464,220000,2,2,Southampton Pointe,1039,,1999,529,212,324,Sold,http://www.redfin.com/SC/Mt-Pleasant/1515-Rosewood-Ln-29464/home/68596357,Charleston Trident MLS,18032307,32.822885,-79.846029
PAST SALE,November-19-2018,Condo/Co-op,1020 Basildon Rd,Mount Pleasant,SC,29466,214500,2,2,Park West,1063,,2006,685,202,266,Sold,http://www.redfin.com/SC/Mount-Pleasant/1020-Basildon-RD-29464/home/171621087,Charleston Trident MLS,18024598,32.8234848,-79.8520818
PAST SALE,June-4-2019,Condo/Co-op,1802 Basildon Rd,Mount Pleasant,SC,29466,215000,2,2,Park West,1107,,2006,488,194,273,Sold,http://www.redfin.com/SC/Mount-Pleasant/1802-Basildon-RD-29464/home/145119655,Charleston Trident MLS,18031002,32.8234848,-79.8520818
PAST SALE,April-2-2020,Condo/Co-op,1054 Anna Knapp Blvd Unit 4a,Mount Pleasant,SC,29464,182000,2,2,Hibben Ferry,1030,,1983,185,177,338,Sold,http://www.redfin.com/SC/Mt-Pleasant/1054-Anna-Knapp-Blvd-29464/unit-4A/home/108047905,Charleston Trident MLS,20007154,32.8080052,-79.8635541
