absolute, link, Address, Latitude, Longitude, Price, #Bed, #Bath, Square Foot, Year Built, date1, price1, date2, price2, date3, price3, date4, price4, date5, price5, date6, price6, date7, price7, link1, ZestYear 2015, ZestPrice 2015 , ZestYear 2016, ZestPrice 2016, ZestYear 2017, ZestPrice 2017, ZestYear 2018, ZestPrice 2018, ZestYear 2019, ZestPrice 2019, ZestYear 2020, ZestPrice 2020
27,https://www.zillow.com/homedetails/23-Grace-Ln-Mount-Pleasant-SC-29464/55640678_zpid/,23 Grace Ln Mount Pleasant SC 29464,32.815142200000004,-79.8754898,1895000.0,5.0,7.0,6355.0,2002,7/31/2020,1895000.0,5/27/2020,1895000.0,5/20/2020,1895000.0,4/22/2020,1895000.0,3/17/2020,1895000.0,10/10/2019,1895000.0,2/6/2019,1895000.0,https://www.zillow.com/homedetails/23-Grace-Ln-Mount-Pleasant-SC-29464/55640678_zpid/,2015,1800.0,Jan 2016,1800.0,Jan 2017,2300.0,Dec 2017,1900.0,Jan 2019,1900,Feb 2020,2000.0
28,https://www.zillow.com/homedetails/2081-Shell-Ring-Cir-Mount-Pleasant-SC-29466/110208240_zpid/,2081 Shell Ring Cir Mount Pleasant SC 29466,32.907266,-79.79320899999999,1890000.0,5.0,6.0,5401.0,2020,4/13/2020,1890000.0,7/20/2018,428000.0,5/14/2018,465000.0,1/24/2018,465000.0,12/2/1999,175000.0,nan,nan,nan,nan,https://www.zillow.com/homedetails/2081-Shell-Ring-Cir-Mount-Pleasant-SC-29466/110208240_zpid/,2015,nan,Oct 2015,nan,Oct 2016,nan,Sep 2017,nan,Sold for,nan,Sep 2019,nan
29,https://www.zillow.com/homedetails/191-Harbour-Watch-Way-Mount-Pleasant-SC-29464/10921724_zpid/,191 Harbour Watch Way Mount Pleasant SC 29464,32.8084695,-79.8993946,1880000.0,3.0,3.0,2860.0,1999,9/4/2020,1880000.0,3/14/2016,910000.0,1/17/2016,920000.0,1/12/2016,920000.0,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/191-Harbour-Watch-Way-Mount-Pleasant-SC-29464/10921724_zpid/,2015,698.0,Jan 2016,766.0,Jan 2017,931.0,Dec 2017,998.0,Jan 2019,1000,Feb 2020,1100.0
30,https://www.zillow.com/homedetails/424-Greenwich-St-Mount-Pleasant-SC-29464/10924479_zpid/,178 N Shelmore Blvd Mount Pleasant SC 29464,32.818934000000006,-79.8800176,1875000.0,5.0,6.0,5000.0,2004,7/15/2020,1875000.0,3/23/2020,1945000.0,3/6/2020,1945000.0,10/23/2019,1945000.0,3/1/2011,1015000.0,7/3/2008,2279000.0,6/19/2008,2279000.0,https://www.zillow.com/homedetails/424-Greenwich-St-Mount-Pleasant-SC-29464/10924479_zpid/,2015,891.0,Jan 2016,1200.0,Jan 2017,1700.0,Dec 2017,1800.0,Jan 2019,1800,Listed for,2100.0
31,https://www.zillow.com/homedetails/178-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/68394237_zpid/,424 Greenwich St Mount Pleasant SC 29464,32.7856235,-79.86947430000001,1875000.0,4.0,4.0,3959.0,2000,8/18/2020,1875000.0,7/1/2020,1950000.0,2/6/2020,2085000.0,12/5/2019,2195000.0,11/19/2019,2195000.0,8/14/2019,2345000.0,7/17/2019,2495000.0,https://www.zillow.com/homedetails/178-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/68394237_zpid/,2015,1400.0,Jan 2016,1600.0,Jan 2017,1600.0,Dec 2017,1600.0,Jan 2019,1600,Feb 2020,1800.0
32,https://www.zillow.com/homedetails/801-Pitt-St-Mount-Pleasant-SC-29464/10925184_zpid/,801 Pitt St Mount Pleasant SC 29464,32.779936,-79.868654,1795000.0,4.0,4.0,3051.0,2017,6/10/2020,1795000.0,8/14/2015,500000.0,4/18/2011,350000.0,11/5/2010,150000.0,11/4/2010,450000.0,3/13/2007,689000.0,1/11/2007,456000.0,https://www.zillow.com/homedetails/801-Pitt-St-Mount-Pleasant-SC-29464/10925184_zpid/,2015,529.0,Sold for,507.0,Oct 2016,529.0,Sep 2017,550.0,Sep 2018,736,Sep 2019,843.0
33,https://www.zillow.com/homedetails/175-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905322_zpid/,175 E Shipyard Rd Mount Pleasant SC 29464,32.8186798,-79.8758179,1759000.0,4.0,4.0,3417.0,1999,4/28/2020,1759000.0,6/27/2018,1150000.0,6/26/2018,1245000.0,5/18/2018,1245000.0,4/2/2018,1245000.0,2/2/2018,1295000.0,2/1/2005,950000.0,https://www.zillow.com/homedetails/175-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905322_zpid/,2015,1100.0,Jan 2016,1200.0,Jan 2017,1500.0,Dec 2017,1300.0,Jan 2019,1200,Feb 2020,1200.0
34,https://www.zillow.com/homedetails/179-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905323_zpid/,179 E Shipyard Rd Mount Pleasant SC 29464,32.8188729,-79.8755117,1750000.0,5.0,6.0,4900.0,2001,8/27/2020,1750000.0,2/15/2020,1849000.0,12/18/2019,1885000.0,9/28/2019,1885000.0,7/23/2019,1895000.0,5/15/2019,1925000.0,11/26/2018,1975000.0,https://www.zillow.com/homedetails/179-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905323_zpid/,2015,1400.0,Jan 2016,1600.0,Jan 2017,1600.0,Dec 2017,1700.0,Jan 2019,1900,Listed for,1700.0
35,https://www.zillow.com/homedetails/174-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/110213564_zpid/,174 N Shelmore Blvd Mount Pleasant SC 29464,32.8190956,-79.88012690000001,1699900.0,4.0,8.0,6228.0,2012,7/26/2020,1699900.0,7/6/2020,1699900.0,6/20/2020,1699900.0,11/23/2019,1770000.0,8/28/2019,1995000.0,12/31/2008,188000.0,8/19/2005,230000.0,https://www.zillow.com/homedetails/174-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/110213564_zpid/,2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,https://www.zillow.com/homedetails/129-Ponsbury-Rd-Mount-Pleasant-SC-29464/55640731_zpid/,129 Ponsbury Rd Mount Pleasant SC 29464,32.817805699999994,-79.8768679,1699000.0,5.0,6.0,4554.0,2002,8/20/2020,1699000.0,6/6/2017,1699500.0,3/4/2017,1699500.0,7/8/2016,1835000.0,6/27/2014,1350000.0,2/6/2013,1499000.0,10/24/2012,1499000.0,https://www.zillow.com/homedetails/129-Ponsbury-Rd-Mount-Pleasant-SC-29464/55640731_zpid/,2015,1400.0,Jan 2016,1500.0,Jan 2017,1700.0,Dec 2017,1600.0,Jan 2019,1600,Feb 2020,1600.0
37,https://www.zillow.com/homedetails/4923-Sound-View-Dr-Mount-Pleasant-SC-29466/80211791_zpid/,4923 Sound View Dr Mount Pleasant SC 29466,32.8529012,-79.7667541,1695000.0,4.0,4.0,4146.0,2005,6/4/2019,1695000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/4923-Sound-View-Dr-Mount-Pleasant-SC-29466/80211791_zpid/,2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,https://www.zillow.com/homedetails/801-Harbour-Watch-Ct-Mount-Pleasant-SC-29464/88989825_zpid/,801 Harbour Watch Ct Mount Pleasant SC 29464,32.8093509,-79.9021936,1670000.0,5.0,5.0,3877.0,2007,7/17/2020,1670000.0,5/1/2020,1775000.0,9/13/2000,115000.0,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/801-Harbour-Watch-Ct-Mount-Pleasant-SC-29464/88989825_zpid/,2015,1100.0,Jan 2016,1200.0,Jan 2017,1200.0,Dec 2017,1200.0,Jan 2019,1200,Feb 2020,1200.0
39,https://www.zillow.com/homedetails/920-Royall-Ave-Mount-Pleasant-SC-29464/10926230_zpid/,58 Saturday Rd Mount Pleasant SC 29464,32.8236083,-79.8766272,1595000.0,4.0,4.0,4200.0,2005,6/26/2020,1595000.0,3/7/2020,1695000.0,5/26/2004,185000.0,11/14/2002,150000.0,11/28/2000,141000.0,nan,nan,nan,nan,https://www.zillow.com/homedetails/920-Royall-Ave-Mount-Pleasant-SC-29464/10926230_zpid/,2015,1400.0,Jan 2016,1500.0,Jan 2017,1600.0,Dec 2017,1700.0,Jan 2019,1600,Feb 2020,1600.0
40,https://www.zillow.com/homedetails/58-Saturday-Rd-Mount-Pleasant-SC-29464/80212623_zpid/,920 Royall Ave Mount Pleasant SC 29464,32.7781994,-79.8638739,1595000.0,4.0,4.0,3000.0,2009,8/30/2020,1595000.0,4/29/2013,1292500.0,1/7/2010,1299000.0,8/15/2005,400000.0,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/58-Saturday-Rd-Mount-Pleasant-SC-29464/80212623_zpid/,2015,1100.0,Jan 2016,1200.0,Jan 2017,1400.0,Dec 2017,1300.0,Jan 2019,1400,Listed for,1400.0
41,https://www.zillow.com/homedetails/743-3rd-St-Mount-Pleasant-SC-29464/89000661_zpid/,743 3rd St Mount Pleasant SC 29464,32.8136816,-79.9007615,1590000.0,5.0,7.0,5183.0,2007,7/27/2020,1590000.0,6/18/2020,1690000.0,5/30/2020,1790000.0,3/24/2020,1790000.0,2/20/2020,1790000.0,8/27/2007,1500000.0,7/17/2007,600000.0,https://www.zillow.com/homedetails/743-3rd-St-Mount-Pleasant-SC-29464/89000661_zpid/,2015,1400.0,Jan 2016,1800.0,Jan 2017,1700.0,Dec 2017,1600.0,Jan 2019,1600,Feb 2020,1700.0
42,https://www.zillow.com/homedetails/936-Mciver-St-Mount-Pleasant-SC-29464/68391500_zpid/,936 Mciver St Mount Pleasant SC 29464,32.7852949,-79.8552543,1575000.0,4.0,5.0,3576.0,2004,8/28/2020,1575000.0,7/18/2020,1595000.0,3/8/2012,999999.0,3/7/2012,999999.0,1/20/2010,745000.0,10/23/2009,999999.0,1/31/2009,1149731.0,https://www.zillow.com/homedetails/936-Mciver-St-Mount-Pleasant-SC-29464/68391500_zpid/,2015,894.0,Jul 2018,1200.0,Jul 2019,1200.0,Listed for,1500.0,nan,nan,nan,nan
43,https://www.zillow.com/homedetails/1162-Fulton-Hall-Ln-Mount-Pleasant-SC-29466/247524344_zpid/,1162 Fulton Hall Ln Mount Pleasant SC 29466,32.8471639,-79.8057789,1499000.0,4.0,4.0,3428.0,2018,7/25/2020,1499000.0,5/8/2020,1580000.0,11/26/2019,1580000.0,12/13/2018,1295000.0,2/8/2018,329000.0,3/28/2016,97750.0,nan,nan,https://www.zillow.com/homedetails/1162-Fulton-Hall-Ln-Mount-Pleasant-SC-29466/247524344_zpid/,2015,nan,Oct 2015,nan,Oct 2016,nan,Sep 2017,nan,Sep 2018,nan,Sep 2019,nan
44,https://www.zillow.com/homedetails/996-Law-Ln-Mount-Pleasant-SC-29464/10934211_zpid/,996 Law Ln Mount Pleasant SC 29464,32.835638,-79.84470809999999,1475000.0,5.0,6.0,4840.0,2018,6/24/2020,1475000.0,3/28/2020,1500000.0,4/4/2018,320000.0,8/11/2017,355000.0,3/22/2017,350000.0,12/27/2016,340000.0,12/27/2016,340000.0,https://www.zillow.com/homedetails/996-Law-Ln-Mount-Pleasant-SC-29464/10934211_zpid/,2015,344.0,Jan 2016,389.0,Jan 2017,335.0,Dec 2017,364.0,Jan 2019,375,Listed for,387.0
45,https://www.zillow.com/homedetails/317-Coinbow-Dr-Mount-Pleasant-SC-29464/10920899_zpid/,317 Coinbow Dr Mount Pleasant SC 29464,32.820578600000005,-79.88898490000001,1475000.0,5.0,3.0,4300.0,1976,8/27/2020,1475000.0,7/23/2020,1545000.0,6/8/2007,985000.0,12/10/1999,587000.0,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/317-Coinbow-Dr-Mount-Pleasant-SC-29464/10920899_zpid/,2015,990.0,Jan 2016,1100.0,Jan 2017,1300.0,Dec 2017,1300.0,Jan 2019,1400,Feb 2020,1600.0
46,https://www.zillow.com/homedetails/276-Copahee-Rd-Mount-Pleasant-SC-29464/10921128_zpid/,276 Copahee Rd Mount Pleasant SC 29464,32.8177081,-79.8952615,1460000.0,5.0,4.0,3834.0,1985,7/30/2020,1460000.0,6/9/2020,1500000.0,5/9/2020,1575000.0,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/276-Copahee-Rd-Mount-Pleasant-SC-29464/10921128_zpid/,2015,1400.0,Dec 2017,930.0,Jan 2019,929.0,Feb 2020,1000.0,nan,nan,nan,nan
47,https://www.zillow.com/homedetails/258-Magwood-Ln-Mount-Pleasant-SC-29464/10922860_zpid/,258 Magwood Ln Mount Pleasant SC 29464,32.7899558,-79.88117679999999,1425000.0,4.0,4.0,3181.0,1928,8/27/2020,1425000.0,10/25/2000,595000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/258-Magwood-Ln-Mount-Pleasant-SC-29464/10922860_zpid/,2015,1100.0,Jan 2016,1100.0,Jan 2017,1200.0,Dec 2017,1500.0,Jan 2019,1500,Feb 2020,1300.0
48,https://www.zillow.com/homedetails/1708-Canyon-Oas-Dr-Mount-Pleasant-SC-29464/92385581_zpid/,1708 Canyon Oas Dr Mount Pleasant SC 29464,32.814004499999996,-79.8146184,1425000.0,5.0,5.0,5062.0,2008,8/19/2020,1425000.0,8/10/2020,1425000.0,8/7/2020,1425000.0,7/28/2020,1425000.0,7/24/2020,1425000.0,1/11/2012,1000000.0,6/9/2006,331000.0,https://www.zillow.com/homedetails/1708-Canyon-Oas-Dr-Mount-Pleasant-SC-29464/92385581_zpid/,2015,1200.0,Jan 2016,1200.0,Jan 2017,1200.0,Dec 2017,1200.0,Jan 2019,1300,Feb 2020,1300.0
49,https://www.zillow.com/homedetails/35-John-Galt-Way-Mount-Pleasant-SC-29464/88971516_zpid/,35 John Galt Way Mount Pleasant SC 29464,32.817931,-79.877579,1399000.0,4.0,5.0,3264.0,2007,8/20/2020,1399000.0,7/8/2014,1160000.0,5/6/2008,1000000.0,nan,nan,nan,nan,nan,nan,nan,nan,https://www.zillow.com/homedetails/35-John-Galt-Way-Mount-Pleasant-SC-29464/88971516_zpid/,2015,1200.0,Jan 2016,1300.0,Jan 2017,1300.0,Dec 2017,1300.0,Jan 2019,1300,Feb 2020,1300.0
50,https://www.zillow.com/homedetails/2860-River-Vista-Way-Mount-Pleasant-SC-29466/110235420_zpid/,2860 River Vista Way Mount Pleasant SC 29466,32.9259869,-79.8041901,1399000.0,5.0,5.0,5264.0,2014,2/1/2020,1399000.0,7/3/2018,1250000.0,6/10/2018,1299000.0,5/4/2018,1299000.0,4/2/2018,1299000.0,3/31/2015,1299000.0,1/25/2014,1299000.0,https://www.zillow.com/homedetails/2860-River-Vista-Way-Mount-Pleasant-SC-29466/110235420_zpid/,2015,1200.0,Jan 2016,1100.0,Jan 2017,1300.0,Dec 2017,1300.0,Jan 2019,1300,Listed for,1300.0
51,https://www.zillow.com/homedetails/1004-Mystic-Dr-Mount-Pleasant-SC-29464/63781559_zpid/,1004 Mystic Dr Mount Pleasant SC 29464,32.8127031,-79.8827735,1385000.0,5.0,5.0,3609.0,2003,9/4/2020,1385000.0,8/22/2020,1100000.0,1/24/2020,5500.0,1/16/2020,5500.0,1/16/2020,4500.0,1/18/2018,1385000.0,11/7/2017,1385000.0,https://www.zillow.com/homedetails/1004-Mystic-Dr-Mount-Pleasant-SC-29464/63781559_zpid/,2015,887.0,Jan 2016,917.0,Jan 2017,986.0,Dec 2017,1300.0,Jan 2019,948,Feb 2020,985.0
52,https://www.zillow.com/homedetails/641-Palmetto-St-Mount-Pleasant-SC-29464/10924686_zpid/,641 Palmetto St Mount Pleasant SC 29464,32.7882121,-79.86831490000002,1350000.0,4.0,4.0,2407.0,2020,4/30/2020,1350000.0,12/24/2019,509000.0,12/5/2019,580000.0,11/7/2019,580000.0,10/24/2019,590000.0,10/11/2019,600000.0,9/28/2019,699000.0,https://www.zillow.com/homedetails/641-Palmetto-St-Mount-Pleasant-SC-29464/10924686_zpid/,2015,433.0,Jan 2016,464.0,Jan 2017,557.0,Dec 2017,617.0,Jan 2019,580,Sold for,559.0
53,https://www.zillow.com/homedetails/518-London-Bridge-Rd-Mount-Pleasant-SC-29464/10926252_zpid/,518 London Bridge Rd Mount Pleasant SC 29464,32.7797535,-79.86426209999999,1342000.0,3.0,3.0,2200.0,1975,9/4/2020,1342000.0,1/2/2013,425000.0,11/27/2012,445000.0,10/19/2012,445000.0,9/18/2012,454900.0,8/21/2010,410000.0,5/17/2010,410000.0,https://www.zillow.com/homedetails/518-London-Bridge-Rd-Mount-Pleasant-SC-29464/10926252_zpid/,2015,465.0,Jan 2016,573.0,Jan 2017,683.0,Dec 2017,747.0,Jan 2019,776,Feb 2020,775.0
54,https://www.zillow.com/homedetails/1173-Fulton-Hall-Ln-Mount-Pleasant-SC-29466/2097923164_zpid/,1173 Fulton Hall Ln Mount Pleasant SC 29466,32.8467742,-79.80524890000001,1325000.0,5.0,5.0,3768.0,2020,4/11/2018,1325000.0,1/13/2017,1130000.0,10/11/2016,1130000.0,9/21/2016,999000.0,9/7/2016,1130000.0,7/12/2016,999000.0,7/12/2016,1130000.0,https://www.zillow.com/homedetails/1173-Fulton-Hall-Ln-Mount-Pleasant-SC-29466/2097923164_zpid/,2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,https://www.zillow.com/homedetails/155-Wingo-Way-433-Mount-Pleasant-SC-29464/247522425_zpid/,155 Wingo Way #433 Mount Pleasant SC 29464,32.8037058,-79.8988515,1299000.0,3.0,4.0,2200.0,2016,7/16/2020,1299000.0,4/8/2020,1349000.0,2/19/2020,1399000.0,3/22/2019,1262500.0,1/23/2019,1275000.0,3/24/2017,1079000.0,nan,nan,https://www.zillow.com/homedetails/155-Wingo-Way-433-Mount-Pleasant-SC-29464/247522425_zpid/,2015,451.0,Jan 2016,379.0,Sold for,1200.0,Dec 2017,1100.0,Listed for,1300,nan,nan
56,https://www.zillow.com/homedetails/536-Island-Wal-W-Mount-Pleasant-SC-29464/68355919_zpid/,536 Island Wal W Mount Pleasant SC 29464,32.8544397,-79.86113950000001,1299000.0,4.0,5.0,4246.0,2004,8/1/2020,1299000.0,11/8/2019,1325000.0,9/8/2019,1325000.0,7/5/2019,1325000.0,9/1/2018,1350000.0,8/26/2013,965000.0,8/22/2012,832817.0,https://www.zillow.com/homedetails/536-Island-Wal-W-Mount-Pleasant-SC-29464/68355919_zpid/,2015,1000.0,Jan 2016,1100.0,Jan 2017,1100.0,Dec 2017,1100.0,Jan 2019,1300,Feb 2020,1200.0
