lin,Address,Latitude,Longitude,Price,#Bed,#Bath,Square Foot,Year Built,date1,price1,date2,price2,date3,price3,date4,price4,date5,price5,date6,price6,date7,price7,absolute
https://www.zillow.com/homedetails/835-Osullivan-Dr-Mount-Pleasant-SC-29464/10932558_zpid/,835 Osullivan Dr Mount Pleasant SC 29464,32.8172286,-79.8590611,419000,4,4,1690,1972,8/15/2020,419000,7/6/2020,439000,7/2/2020,449900,,,,,,,,,341
https://www.zillow.com/homedetails/464-S-Piazza-Ct-Mount-Pleasant-SC-29464/10928639_zpid/,464 S Piazza Ct Mount Pleasant SC 29464,32.8476492,-79.862762,419000,3,3,1789,1994,8/22/2020,419000,8/14/2020,420000,3/17/2020,415000,3/11/2020,415000,3/24/2015,310000,11/25/2014,335000,11/14/2014,335000,342
https://www.zillow.com/homedetails/1183-Triple-Crown-Ct-Awendaw-SC-29429/2078122950_zpid/,1183 Triple Crown Ct Awendaw SC 29429,32.8884379,-79.7505123,417614,3,3,1886,No Data,9/2/2020,417614,8/25/2020,414114,,,,,,,,,,,343
https://www.zillow.com/homedetails/160-Palm-Cove-Way-Mount-Pleasant-SC-29466/82541454_zpid/,160 Palm Cove Way Mount Pleasant SC 29466,32.907739,-79.81679,415000,2,3,2514,2006,9/6/2020,415000,8/7/2020,425000,8/25/2018,419000,8/4/2018,419000,3/28/2018,425000,3/1/2018,457000,8/29/2006,457743,344
https://www.zillow.com/homedetails/3761-Sawmill-Ct-Awendaw-SC-29429/2079743639_zpid/,3761 Sawmill Ct Awendaw SC 29429,32.8864163,-79.7392401,414900,5,3,2361,2020,7/23/2020,414900,5/6/2020,419500,,,,,,,,,,,345
https://www.zillow.com/homedetails/1554-Moss-Spring-Rd-Mount-Pleasant-SC-29466/2079990632_zpid/,1554 Moss Spring Rd Mount Pleasant SC 29466,32.8747038,-79.7960523,412000,3,4,2350,2020,4/21/2020,412000,,,,,,,,,,,,,346
https://www.zillow.com/homedetails/1165-Willoughby-Ln-Mount-Pleasant-SC-29466/61473755_zpid/,1165 Willoughby Ln Mount Pleasant SC 29466,32.8854387,-79.7850316,410000,3,3,2025,2000,8/27/2020,410000,8/11/2020,420000,7/22/2020,425000,8/20/2019,379900,5/16/2019,379900,5/7/2019,379900,4/30/2019,384900,347
https://www.zillow.com/homedetails/2680-Lohr-Dr-Mount-Pleasant-SC-29466/122138992_zpid/,2680 Lohr Dr Mount Pleasant SC 29466,32.8488986,-79.7993243,410000,3,2,1548,2012,8/19/2020,410000,11/5/2012,265821,8/29/2012,570000,,,,,,,,,348
https://www.zillow.com/homedetails/1555-Moss-Spring-Rd-Mount-Pleasant-SC-29466/2078520253_zpid/,1555 Moss Spring Rd Mount Pleasant SC 29466,32.8747038,-79.7960523,409000,3,4,2336,2020,7/26/2020,409000,,,,,,,,,,,,,349
https://www.zillow.com/homedetails/1971-Trimbleston-Pl-Mount-Pleasant-SC-29464/10930052_zpid/,1971 Trimbleston Pl Mount Pleasant SC 29464,32.8518167,-79.8368244,405000,3,3,1658,1990,9/4/2020,405000,9/4/2020,2900,6/25/2020,2900,10/2/2000,153000,,,,,,,350
https://www.zillow.com/homedetails/1316-Wylls-Nc-Mount-Pleasant-SC-29464/10933260_zpid/,1316 Wylls Nc Mount Pleasant SC 29464,32.8234848,-79.8520818,402500,4,2,1829,1987,9/5/2020,402500,9/2/2020,399899,8/10/2020,399999,8/3/2020,409999,8/1/2020,419999,7/22/2020,424000,7/17/2020,429000,351
https://www.zillow.com/homedetails/1563-Moss-Spring-Rd-Mount-Pleasant-SC-29466/2079621061_zpid/,1563 Moss Spring Rd Mount Pleasant SC 29466,32.8747038,-79.7960523,402000,3,4,2353,2020,5/22/2020,402000,5/14/2020,457205,,,,,,,,,,,352
https://www.zillow.com/homedetails/1446-Bowman-Rd-Mount-Pleasant-SC-29464/10933234_zpid/,1446 Bowman Rd Mount Pleasant SC 29464,32.805578,-79.8448741,400000,4,3,1677,1960,8/9/2020,400000,8/4/2020,400000,7/22/2015,299000,7/7/2015,296000,6/6/2015,296000,6/3/2015,299000,5/24/2015,299000,353
https://www.zillow.com/homedetails/1226-Llewellyn-Rd-Mount-Pleasant-SC-29464/10933289_zpid/,1226 Llewellyn Rd Mount Pleasant SC 29464,32.8005653,-79.8488654,400000,3,2,1597,1988,7/25/2020,400000,7/18/2020,400000,7/9/2020,400000,3/7/2020,400000,1/16/2020,400000,12/3/2019,400000,10/25/2019,400000,354
https://www.zillow.com/homedetails/1605-Prince-Edward-St-Mount-Pleasant-SC-29466/247530140_zpid/,1605 Prince Edward St Mount Pleasant SC 29466,32.8242753,-79.802114,400000,3,3,1920,2017,8/12/2020,400000,6/26/2020,430000,1/4/2020,430000,3/15/2019,2800,2/16/2019,2800,2/16/2019,395000,2/13/2019,395000,355
https://www.zillow.com/homedetails/1520-Boston-Grill-Rd-Mount-Pleasant-SC-29466/10937485_zpid/,1520 Boston Grill Rd Mount Pleasant SC 29466,32.8456973,-79.7843824,400000,5,3,2468,1964,7/29/2020,400000,8/23/2017,293400,8/7/2017,289900,6/16/2017,289900,6/10/2017,299900,5/24/2017,299900,5/5/2017,299900,356
https://www.zillow.com/homedetails/1149-N-Shadow-Dr-Mount-Pleasant-SC-29464/10928255_zpid/,1149 N Shadow Dr Mount Pleasant SC 29464,32.8070717,-79.8551517,399999,4,2,2010,1971,9/4/2020,399999,8/27/2020,424900,8/18/2020,435000,6/30/2020,395000,5/26/2020,399000,5/19/2020,399000,5/7/2020,409000,357
https://www.zillow.com/homedetails/3616-Loclear-Ln-Mount-Pleasant-SC-29466/122140224_zpid/,3616 Loclear Ln Mount Pleasant SC 29466,32.879164,-79.7563826,399000,4,3,2633,2012,8/3/2020,399000,5/11/2016,2400,4/12/2015,2300,3/5/2015,2300,1/28/2015,2400,7/23/2012,264480,,,358
https://www.zillow.com/homedetails/1540-Moss-Spring-Rd-Mount-Pleasant-SC-29466/2085035937_zpid/,1540 Moss Spring Rd Mount Pleasant SC 29466,32.8747038,-79.7960523,399000,3,4,2350,2020,7/30/2020,399000,7/28/2020,389000,4/22/2020,404000,4/4/2020,405311,2/20/2020,404000,10/23/2019,424000,9/5/2019,432400,359
https://www.zillow.com/homedetails/3075-Morningdale-Dr-Mount-Pleasant-SC-29466/55641746_zpid/,3075 Morningdale Dr Mount Pleasant SC 29466,32.8675716,-79.7970375,398000,3,3,1870,2000,9/5/2020,398000,11/7/2002,179000,6/15/2000,165330,,,,,,,,,360
https://www.zillow.com/homedetails/651-Spar-St-Mount-Pleasant-SC-29464/10927067_zpid/,651 Spar St Mount Pleasant SC 29464,32.8183778,-79.8682575,395000,3,1,777,1952,6/5/2020,395000,6/3/2020,295000,,,,,,,,,,,361
https://www.zillow.com/homedetails/2946-Woodland-Par-Dr-Mount-Pleasant-SC-29466/68395192_zpid/,2946 Woodland Par Dr Mount Pleasant SC 29466,32.8535347,-79.7821489,395000,4,3,3162,2004,8/18/2020,395000,7/26/2020,405000,7/1/2020,415000,6/10/2020,425000,5/29/2020,435000,5/2/2020,460000,1/8/2007,374100,362
,,,,,,,,,,,,,,,,,,,,,,,363
https://www.zillow.com/homedetails/220-Slipper-Shell-Ct-Mount-Pleasant-SC-29464/122139727_zpid/,220 Slipper Shell Ct Mount Pleasant SC 29464,32.853467,-79.883536,389000,3,3,2092,2014,9/5/2020,389000,8/15/2020,395000,5/5/2017,343000,3/25/2017,349000,2/9/2017,349000,1/17/2017,367500,11/26/2016,359000,364
https://www.zillow.com/homedetails/3817-Sawmill-Ct-Awendaw-SC-29429/2078066558_zpid/,3817 Sawmill Ct Awendaw SC 29429,32.8864163,-79.7392401,387903,3,3,1749,2020,9/5/2020,387903,8/28/2020,388980,,,,,,,,,,,365
https://www.zillow.com/homedetails/1546-Moss-Spring-Rd-Mount-Pleasant-SC-29466/2085030109_zpid/,1546 Moss Spring Rd Mount Pleasant SC 29466,32.8747038,-79.7960523,387500,3,3,2332,2020,7/28/2020,387500,4/22/2020,390000,4/4/2020,391298,2/20/2020,390000,10/23/2019,399000,9/5/2019,409018,7/23/2019,409018,366
https://www.zillow.com/homedetails/3052-Emma-Ln-Mount-Pleasant-SC-29466/2079364327_zpid/,3052 Emma Ln Mount Pleasant SC 29466,32.865846,-79.796868,386305,3,3,2180,2020,8/3/2020,386305,5/31/2020,384990,,,,,,,,,,,367
https://www.zillow.com/homedetails/2500-ings-Gate-Ln-Mount-Pleasant-SC-29466/122140285_zpid/,2500 ings Gate Ln Mount Pleasant SC 29466,32.9008847,-79.818534,385000,3,3,2195,2013,8/4/2020,385000,8/5/2017,2650,7/20/2017,2650,6/1/2016,358000,11/15/2013,282234,,,,,368
https://www.zillow.com/homedetails/4025-Conant-Rd-Mount-Pleasant-SC-29466/110216021_zpid/,4025 Conant Rd Mount Pleasant SC 29466,32.889573,-79.799702,385000,4,3,2284,2010,8/28/2020,385000,7/6/2011,270000,,,,,,,,,,,369
https://www.zillow.com/homedetails/151-Slipper-Shell-Ct-Mount-Pleasant-SC-29464/122488933_zpid/,151 Slipper Shell Ct Mount Pleasant SC 29464,32.852717,-79.88257,384900,3,3,2008,2016,8/10/2020,384900,7/14/2020,399000,4/13/2016,344900,,,,,,,,,370
https://www.zillow.com/homedetails/3040-Emma-Ln-Mount-Pleasant-SC-29466/2080882410_zpid/,3040 Emma Ln Mount Pleasant SC 29466,32.865846,-79.796868,384101,3,3,2180,2020,8/3/2020,384101,6/28/2020,384186,2/27/2020,388736,,,,,,,,,371
