lin1,ZestYear 2015,ZestPrice 2015,ZestYear 2016,ZestPrice 2016,ZestYear 2017,ZestPrice 2017,ZestYear 2018,ZestPrice 2018,ZestYear 2019,ZestPrice 2019,ZestYear 2020,ZestPrice 2020
https://www.zillow.com/homedetails/3803-Sawyers-Island-Dr-Mount-Pleasant-SC-29466/2078969163_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/72-Sowell-St-Mount-Pleasant-SC-29464/52905277_zpid/,2015,989,Jan 2016,1200,Jan 2017,1300,Dec 2017,806,Jan 2019,837,Feb 2020,1100
https://www.zillow.com/homedetails/87-Latitude-Ln-Mount-Pleasant-SC-29464/68392254_zpid/,2015,1400,Jan 2016,1500,Jan 2017,1600,Dec 2017,1700,Jan 2019,1700,Listed for,1300
https://www.zillow.com/homedetails/1778-Canyon-Oas-Dr-Mount-Pleasant-SC-29464/68391627_zpid/,2015,712,Jan 2016,795,Jan 2017,776,Dec 2017,826,Jul 2019,794,Aug 2020,1000
https://www.zillow.com/homedetails/403-Patjens-Ln-Mount-Pleasant-SC-29464/10924042_zpid/,2015,775,Jul 2018,850,Aug 2020,1000,Jul 2019,918,,,,
https://www.zillow.com/homedetails/736-Stucco-Ln-Mount-Pleasant-SC-29464/88983914_zpid/,2015,1000,Jan 2016,963,Jan 2017,1200,Dec 2017,1300,Jan 2019,1200,Feb 2020,1300
https://www.zillow.com/homedetails/1010-Laeview-Dr-Mount-Pleasant-SC-29464/10922528_zpid/,2015,530,Jan 2016,567,Jan 2017,579,Dec 2017,614,Jan 2019,714,Feb 2020,749
https://www.zillow.com/homedetails/1907-Bolden-Dr-Mount-Pleasant-SC-29466/2078046743_zpid/,2015,1000,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA,,,,
https://www.zillow.com/homedetails/93-Jane-Jacobs-St-Mount-Pleasant-SC-29464/247524094_zpid/,2015,477,Jan 2016,578,Jan 2017,1000,Dec 2017,1100,Jan 2019,1100,Feb 2020,1200
https://www.zillow.com/homedetails/125-N-Plaza-Ct-Mount-Pleasant-SC-29464/68394180_zpid/,2015,818,Jan 2016,826,Jan 2017,733,Dec 2017,729,Jan 2019,810,Feb 2020,838
https://www.zillow.com/homedetails/1494-Menhaden-Ln-Mount-Pleasant-SC-29466/2081146331_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1494-Menhaden-Ln-HOMESITE-109-Mount-Pleasant-SC-29466/2079745343_zpid/,2015,971,,,,,,,,,,
https://www.zillow.com/homedetails/2676-Crooed-Stic-Ln-Mount-Pleasant-SC-29466/88986842_zpid/,2015,925,Jan 2016,926,Jan 2017,935,Dec 2017,949,Jan 2019,962,Feb 2020,1000
https://www.zillow.com/homedetails/1494-Menhaden-Ln-HOMESITE-109-Mount-Pleasant-SC-29466/2079745343_zpid/,2015,971,,,,,,,,,,
https://www.zillow.com/homedetails/1493-Red-Tide-Rd-Mount-Pleasant-SC-29466/247527103_zpid/,2015,880,Jan 2016,NA,Jan 2017,NA,Dec 2017,787,Jan 2019,808,Feb 2020,838
https://www.zillow.com/homedetails/404-Morrison-St-Mount-Pleasant-SC-29464/10924029_zpid/,2015,216,Jan 2016,274,Jan 2017,352,Dec 2017,395,Jan 2019,499,Feb 2020,429
https://www.zillow.com/homedetails/1548-Red-Tide-Rd-Mount-Pleasant-SC-29466/247525228_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/805-Fiddlers-Point-Ln-Mount-Pleasant-SC-29464/68355870_zpid/,2015,746,Jan 2016,767,Jan 2017,915,Dec 2017,848,Jan 2019,873,Feb 2020,903
https://www.zillow.com/homedetails/387-Evian-Way-Mount-Pleasant-SC-29464/110217579_zpid/,2015,674,Jan 2016,902,Jan 2017,931,Dec 2017,1000,Jan 2019,1000,Feb 2020,1000
https://www.zillow.com/homedetails/1880-Cheroee-Rose-Cir-Mount-Pleasant-SC-29466/10939283_zpid/,2015,747,Jan 2016,788,Jan 2017,789,Dec 2017,870,Jan 2019,807,Listed for,775
https://www.zillow.com/homedetails/155-Wingo-Way-424-Mount-Pleasant-SC-29464/247524543_zpid/,2015,268,Jan 2016,280,Jan 2017,869,Dec 2017,928,Jan 2019,959,Feb 2020,950
https://www.zillow.com/homedetails/2708-Oa-Manor-Dr-Mount-Pleasant-SC-29466/80213556_zpid/,2015,747,Jan 2016,846,Jan 2017,872,Dec 2017,936,Jan 2019,945,Feb 2020,998
https://www.zillow.com/homedetails/2118-Shell-Ring-Cir-Mount-Pleasant-SC-29466/52906565_zpid/,2015,643,Jan 2016,695,Jan 2017,721,Dec 2017,676,Jan 2019,894,Feb 2020,862
https://www.zillow.com/homedetails/1919-Bolden-Dr-Mt-Pleasant-SC-29466/2081287380_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1389-Scotts-Cree-Cir-Mount-Pleasant-SC-29464/110234858_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/3572-Henrietta-Hartford-Rd-Mount-Pleasant-SC-29466/68383113_zpid/,2015,720,Jan 2016,751,Jan 2017,781,Dec 2017,867,Jan 2019,825,Feb 2020,806
https://www.zillow.com/homedetails/2316-Buctail-Ct-Mount-Pleasant-SC-29466/247531072_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1564-Home-Farm-Rd-Mount-Pleasant-SC-29464/10926816_zpid/,2015,867,Jan 2016,961,Jan 2017,1200,Dec 2017,1100,Jan 2019,1300,Feb 2020,1300
https://www.zillow.com/homedetails/399-Sirop-Ct-Mount-Pleasant-SC-29464/10921527_zpid/,2015,685,Jan 2016,757,Jan 2017,742,Dec 2017,760,Jan 2019,751,Feb 2020,759
https://www.zillow.com/homedetails/1360-Penshell-Pl-Mount-Pleasant-SC-29464/92382726_zpid/,2015,663,Jan 2016,674,Jan 2017,711,Dec 2017,760,Jan 2019,775,Feb 2020,758
https://www.zillow.com/homedetails/4074-Blacmoor-St-Mount-Pleasant-SC-29466/122139273_zpid/,2015,NA,Jan 2016,701,Jan 2017,727,Dec 2017,757,Jan 2019,755,Feb 2020,738
https://www.zillow.com/homedetails/3045-Pignatelli-Cres-Mount-Pleasant-SC-29466/68356026_zpid/,2015,891,Jan 2016,996,Jan 2017,968,Dec 2017,1100,Jan 2019,972,Feb 2020,994
https://www.zillow.com/homedetails/1837-Shell-Ring-Cir-Mount-Pleasant-SC-29466/52906591_zpid/,2015,777,Jan 2016,862,Jan 2017,773,Dec 2017,802,Jan 2019,811,Feb 2020,810
https://www.zillow.com/homedetails/336-Shoals-Dr-Mount-Pleasant-SC-29464/110229623_zpid/,2015,474,,,,,,,,,,
https://www.zillow.com/homedetails/1769-Greenspoint-Ct-Mount-Pleasant-SC-29466/68391703_zpid/,2015,862,Jan 2016,807,Jan 2017,882,Dec 2017,876,Jan 2019,902,Feb 2020,932
https://www.zillow.com/homedetails/251-S-Plaza-Ct-Mount-Pleasant-SC-29464/63781604_zpid/,2015,894,Jan 2016,851,Jan 2017,842,Dec 2017,938,Jan 2019,944,Feb 2020,920
https://www.zillow.com/homedetails/1204-Spottail-Ct-Mount-Pleasant-SC-29466/247527496_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/3580-Henrietta-Hartford-Rd-Mount-Pleasant-SC-29466/55641542_zpid/,2015,981,Jan 2016,1000,Jan 2017,1200,Dec 2017,1100,Jan 2019,994,Feb 2020,1100
https://www.zillow.com/homedetails/894-Tupelo-Bay-Dr-LOT-61-Mount-Pleasant-SC-29464/2078610353_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1139-Fulton-Hall-Ln-Mount-Pleasant-SC-29466/247524491_zpid/,2015,415,Oct 2015,422,Oct 2016,309,Sep 2017,371,Sep 2018,895,Sold for,890
https://www.zillow.com/homedetails/2855-River-Vista-Way-Mount-Pleasant-SC-29466/92384512_zpid/,2015,992,Jan 2016,953,Jan 2017,880,Dec 2017,1100,Jan 2019,966,Feb 2020,974
https://www.zillow.com/homedetails/4902-Sound-View-Dr-Mount-Pleasant-SC-29466/110214815_zpid/,2015,435,,,,,,,,,,
https://www.zillow.com/homedetails/135-Ionsborough-St-Mount-Pleasant-SC-29464/80211517_zpid/,2015,636,Jan 2016,670,Jan 2017,744,Dec 2017,742,Jan 2019,754,Feb 2020,750
https://www.zillow.com/homedetails/155-Wingo-Way-414-Mount-Pleasant-SC-29464/2095868420_zpid/,2015,201,Jan 2016,496,Jan 2017,705,Dec 2017,754,Jan 2019,779,Feb 2020,853
https://www.zillow.com/homedetails/217-Church-St-Mount-Pleasant-SC-29464/10922853_zpid/,2015,453,Jan 2016,561,Jan 2017,529,Dec 2017,603,Jan 2019,718,Feb 2020,654
https://www.zillow.com/homedetails/1401-Lettered-Olive-Ln-Mount-Pleasant-SC-29464/110232306_zpid/,2015,592,Jan 2016,643,Jan 2017,668,Dec 2017,705,Jan 2019,734,Feb 2020,679
https://www.zillow.com/homedetails/1347-Old-Bricyard-Rd-Mount-Pleasant-SC-29466/10937769_zpid/,2015,610,Jan 2016,768,Jan 2017,637,Dec 2017,756,Jan 2019,704,Feb 2020,676
https://www.zillow.com/homedetails/1475-Mossy-Branch-Way-Mount-Pleasant-SC-29464/247524487_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sold for,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/506-Hicory-Cv-Mount-Pleasant-SC-29464/10929099_zpid/,2015,737,,,,,,,,,,
https://www.zillow.com/homedetails/3813-Summerton-St-Mount-Pleasant-SC-29466/2079459739_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1127-Harborgate-Dr-Mount-Pleasant-SC-29464/10922447_zpid/,2015,534,Jan 2016,597,Jan 2017,605,Dec 2017,708,Jan 2019,777,Feb 2020,1000
https://www.zillow.com/homedetails/347-Plantation-View-Ln-Mount-Pleasant-SC-29464/10929721_zpid/,2015,732,Jan 2016,744,Jan 2017,627,Dec 2017,684,Jan 2019,670,Feb 2020,700
https://www.zillow.com/homedetails/941-Mccants-Dr-Mount-Pleasant-SC-29464/10925784_zpid/,2015,536,,,,,,,,,,
https://www.zillow.com/homedetails/175-Civitas-St-Mount-Pleasant-SC-29464/52905300_zpid/,2015,591,Jan 2016,609,Jan 2017,728,Dec 2017,710,Jan 2019,727,Feb 2020,750
